,atp,location,tournament,date,series,court,surface,round,winner,loser,wrank,lrank,wpts,lpts,wsets,lsets,b365w,b365l,avgw,avgl,total_games,sumw,suml,totg_avg
0,1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,Basilashvili N.,Arnaboldi A.,40.0,267.0,1395.0,206.0,2.0,1.0,1.5,2.5,1.56,2.42,29.0,17.0,12.0,22.3
1,1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,Celikbilek A.,Zuk K.,309.0,262.0,150.0,209.0,2.0,0.0,2.5,1.5,2.57,1.5,25.0,14.0,11.0,25.0
2,1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,Ruusuvuori E.,Vesely J.,87.0,67.0,806.0,928.0,2.0,0.0,1.5,2.5,1.52,2.53,22.0,13.0,9.0,23.69
3,1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,Bublik A.,Caruso S.,49.0,76.0,1090.0,858.0,2.0,0.0,1.61,2.2,1.72,2.11,18.0,12.0,6.0,22.89
4,1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,Goffin D.,Herbert P.H.,16.0,83.0,2555.0,822.0,2.0,1.0,1.4,2.75,1.44,2.78,27.0,16.0,11.0,24.2
5,1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,Travaglia S.,Kecmanovic M.,75.0,42.0,869.0,1328.0,2.0,1.0,2.62,1.44,2.71,1.45,23.0,13.0,10.0,22.32
6,1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,Struff J.L.,Kotov P.,37.0,269.0,1450.0,205.0,2.0,0.0,1.22,4.0,1.22,4.16,19.0,12.0,7.0,23.0
7,1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,Lamasine T.,Gerasimov E.,271.0,78.0,204.0,840.0,2.0,0.0,5.0,1.16,5.12,1.16,21.0,13.0,8.0,24.32
8,1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,Andreev A.,Ilhan M.,564.0,571.0,52.0,51.0,2.0,0.0,1.2,4.33,1.22,4.24,19.0,12.0,7.0,21.67
9,1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,Grenier H.,Molcan A.,250.0,313.0,220.0,145.0,2.0,0.0,1.8,1.9,1.87,1.92,22.0,13.0,9.0,21.5
10,1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,Berrettini M.,Kirkin E.,10.0,446.0,3085.0,83.0,2.0,0.0,1.03,15.0,1.02,13.94,16.0,12.0,4.0,23.0
11,1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,Chardy J.,Albot R.,72.0,85.0,880.0,817.0,2.0,0.0,2.0,1.72,2.11,1.71,19.0,12.0,7.0,22.88
12,1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,De Minaur A.,Jaziri M.,23.0,249.0,1860.0,220.0,2.0,0.0,1.04,13.0,1.03,12.68,15.0,12.0,3.0,22.85
13,1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,Fognini F.,Vrbensky M.,17.0,311.0,2400.0,148.0,2.0,0.0,1.4,2.75,1.43,2.8,23.0,13.0,10.0,23.0
